claim_id,document_location,claim_text,value,source_file,source_row_or_section,source_column,notes
C015,frl_manuscript_v0.md section 3,"The post-2022 monthly panel interaction coefficient is -0.5937 and t-statistic is -2.435.","-0.5937; -2.435","outputs/repro_check.md","Panel mechanism test","b(real_beta x dDFII10); t-stat","Same values cross-checked in outputs/cache_repro_check.md lines 67-68."
C016,frl_manuscript_v0.md abstract/section 4,"W2-2 real_beta coefficient is 0.0624 and t-statistic is 7.72.","0.0624; 7.72","outputs/w2/w2_results.csv","W2-2 + mkt_beta + pre_vol + country FE","real_beta_coef; real_beta_t","Raw values are 0.06244957288142365 and 7.723953478223753."
C017,frl_manuscript_v0.md section 4,"With theme fixed effects, W2 real_beta t-statistic is 6.14.",6.14,"outputs/w2/w2_results.csv","W2-3 W2-2 + theme FE","real_beta_t","Raw value is 6.140537767212547."
C018,frl_manuscript_v0.md section 4,"W2 country-clustered real_beta t-statistic is 3.63.",3.63,"outputs/w2/w2_results.csv","W2-4 W2-2 country-clustered SE","real_beta_t","Raw value is 3.625505825380226."
C019,frl_manuscript_v0.md section 4,"W2 factor-clustered real_beta t-statistic is 5.80.",5.80,"outputs/w2/w2_results.csv","W2-5 W2-2 factor-clustered SE","real_beta_t","Raw value is 5.796099452258246."
C020,frl_manuscript_v0.md section 4,"W2 two-way country/factor clustered real_beta t-statistic is 3.35.",3.35,"outputs/w2/w2_results.csv","W2-6 W2-2 two-way clustered SE","real_beta_t","Raw value is 3.3504384506442455."
C021,highlights.md and cover_letter_v0.md,"Pre-2022 and post-2022 phrasing in companion manuscript files follows the verified beta and post windows.",2022,"outputs/paper/tables/table1_sample_signal_summary.csv","Pre window for real/BEI beta; Post window","Value","Real/BEI beta pre-window ends 2021-12; post window is 2022-01 onward."
C022,frl_manuscript_v2.md section 3,"Under the same pre-break protocol, the 2022 real-rate coefficient is 0.1745 with a t-statistic of 2.99.","0.1745; 2.99","outputs/w3/placebo_breaks_summary.csv","break_year=2022","real_beta_coef; real_beta_t","Raw values are 0.17451615296949016 and 2.9901630618350294."
C023,frl_manuscript_v2.md section 3,"The 2022 pseudo-break coefficient is larger than all six 2014-2019 placebo coefficients, which range from -0.1488 to 0.0724.","-0.1488 to 0.0724; 0 stronger","outputs/w3/placebo_breaks_summary.csv","placebo rows","real_beta_coef; placebo_stronger_count","Actual row reports placebo_stronger_count=0 and placebo_n=6."
C024,frl_manuscript_v2.md section 3,"The generated-regressor 95 percent interval is [0.0270, 0.2511] for six-month blocks.","[0.0270, 0.2511]","outputs/w3/generated_regressor_bootstrap.csv","block_length=6","p2_5; p97_5","Draws completed=1000."
C025,frl_manuscript_v2.md section 3,"The generated-regressor 95 percent interval is [0.0235, 0.2558] for twelve-month blocks.","[0.0235, 0.2558]","outputs/w3/generated_regressor_bootstrap.csv","block_length=12","p2_5; p97_5","Draws completed=1000."
C026,frl_manuscript_v2.md section 3/conclusion,"The multiverse transparency table finds no unreported contradiction to the narrow regime-break claim.","PASS","outputs/w3/multiverse_report.md","Final W3 gate","Gate Reasons","Nominal-rate fragility and negative panel evidence are explicitly classified as LIMITS."
